"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"1092",36716346,9479589,"Frederik",2013-10-17,"within an hour","100","100","t","Apartment",98,0,100,"Ghent",100,0.95,1,1,0,1,9.45
"1094",36998317,277634214,"Angela",2019-07-20,"within an hour","100","100","t","House",169,125,100,"Ghent",100,-1.62,1,1,0.74,0.99,6.84
"1095",37172815,277207975,"Viki",2019-07-18,"within an hour","100","100","t","Apartment",62,NA,98,"Ghent",98,-1.61,1,1,0,1,6.89
"1096",37243655,280394189,"Jan",2019-07-29,"within an hour","100","100","t","Apartment",145,250,96,"Ghent",96,-1.63,1,1,1.72,0.97,6.77
"1097",37275337,4980531,"Gust",2013-02-05,"within an hour","100","100","t","House",49,0,98,"Ghent",98,1.26,1,1,0,1,9.76
"1098",37517566,161538579,"Stephen",2017-12-06,"within an hour","100","100","t","Apartment",60,NA,97,"Ghent",97,-0.89,1,1,0,1,7.61
"1099",37619980,284220349,"Ellen",2019-08-09,"within an hour","100","100","t","Apartment",85,250,99,"Ghent",99,-1.64,1,1,2.94,0.94,6.68
"1100",38344954,291794534,"Brent",2019-09-04,"within an hour","100","97","t","House",55,0,93,"Ghent",95,-1.67,1,0.97,0,1,6.71
"1102",39055847,299333776,"Antoaneta",2019-10-01,"within an hour","100","98","t","House",40,99,92,"Ghent",91,-1.7,1,0.98,2.48,0.95,6.57
"1103",39171497,300515443,"Greg And Mink",2019-10-06,"within an hour","100","97","t","House",57,250,96,"Ghent",96,-1.71,1,0.97,4.39,0.91,6.41
"1104",39379853,4902142,"Evi",2013-01-30,"within an hour","100","99","t","Apartment",65,200,98,"Ghent",98,1.27,1,0.99,3.08,0.94,9.54
"1105",39506662,303502563,"Luka",2019-10-20,"within an hour","100","100","t","Apartment",69,NA,98,"Ghent",98,-1.73,1,1,0,1,6.77
"1107",39708742,303596967,"Leonard",2019-10-21,"within an hour","100","100","t","House",50,0,94,"Ghent",94,-1.73,1,1,0,1,6.77
"1108",39719175,305266899,"Alexander",2019-10-29,"within an hour","100","100","t","Apartment",120,300,100,"Ghent",100,-1.74,1,1,2.5,0.95,6.61
"1109",40399085,12489130,"Inbar",2014-02-23,"within an hour","100","100","t","House",39,NA,98,"Ghent",98,0.79,1,1,0,1,9.29
"1110",40779336,38071391,"Matthias",2015-07-10,"within an hour","95","99","t","Apartment",80,300,96,"Ghent",95,0.18,0.95,0.99,3.75,0.92,8.34
