"","reviews_per_month","availability_30","price","id","place"
"2659",0.19,7,69,1188066,"Brussels"
"2660",0.33,30,195,1192448,"Brussels"
"2661",1.41,29,135,1192753,"Brussels"
"2662",1.64,14,85,1197083,"Brussels"
"2663",1.39,0,79,1200538,"Brussels"
"2664",0.44,30,95,1201840,"Brussels"
"2665",0.33,6,57,1202929,"Brussels"
"2666",0.15,0,140,1209165,"Brussels"
"2667",0.68,29,120,1212814,"Brussels"
"2668",1.53,29,45,1216639,"Brussels"
"2669",0.87,23,65,1228017,"Brussels"
"2670",4.79,28,100,1237447,"Brussels"
"2671",1.78,27,150,1241357,"Brussels"
"2672",1.58,10,40,1241604,"Brussels"
"2673",0.93,30,55,1255845,"Brussels"
"2674",0.39,29,35,1265251,"Brussels"
"2675",1.18,29,32,1281585,"Brussels"
"2676",0.39,29,32,1282520,"Brussels"
"2677",0.04,0,70,1287059,"Brussels"
"2678",2.32,0,37,1291276,"Brussels"
"2679",0.33,0,100,1300465,"Brussels"
"2680",0.68,0,65,1316203,"Brussels"
"2681",0.31,0,88,1322759,"Brussels"
"2682",1.51,29,100,1323374,"Brussels"
"2683",0.53,0,80,1341985,"Brussels"
"2684",0.07,0,70,1342949,"Brussels"
"2685",0.35,4,120,1353843,"Brussels"
"2686",2.38,30,47,1358751,"Brussels"
"2687",0.21,0,109,1359945,"Brussels"
"2688",0.1,0,45,1359977,"Brussels"
"2689",0.86,0,62,1360699,"Brussels"
"2690",0.21,29,555,1372920,"Brussels"
"2691",0.07,0,70,1385171,"Brussels"
"2692",0.1,30,90,1391022,"Brussels"
"2693",4.46,29,59,1391608,"Brussels"
"2694",NA,0,125,1406200,"Brussels"
"2695",4.1,30,120,1415158,"Brussels"
"2696",0.77,0,90,1443326,"Brussels"
"2697",1.36,15,50,1459052,"Brussels"
"2698",NA,0,40,1463998,"Brussels"
"2699",3.95,0,59,1476986,"Brussels"
"2700",0.12,30,38,1498353,"Brussels"
"2701",0.9,0,45,1498732,"Brussels"
"2702",0.19,30,62,1513672,"Brussels"
"2703",1.09,21,49,1525149,"Brussels"
"2704",0.23,30,100,1542284,"Brussels"
"2705",1.01,13,70,1548882,"Brussels"
"2706",2.13,30,80,1549749,"Brussels"
"2707",1.79,0,105,1591834,"Brussels"
"2708",0.13,0,40,1599393,"Brussels"
"2709",0.39,0,95,1608900,"Brussels"
"2710",0.28,29,37,1631767,"Brussels"
"2711",1.21,21,150,1658743,"Brussels"
"2712",NA,19,70,1659276,"Brussels"
"2713",3.42,30,29,1659302,"Brussels"
"2714",0.25,30,110,1663116,"Brussels"
"2715",0.05,0,90,1696751,"Brussels"
"2716",0.27,0,60,1702608,"Brussels"
"2717",0.15,0,40,1727972,"Brussels"
"2718",2.08,11,50,1743213,"Brussels"
"2719",1.34,0,59,1744313,"Brussels"
"2720",0.24,11,50,1748384,"Brussels"
"2721",0.08,29,70,1748386,"Brussels"
"2722",1.15,29,110,1770977,"Brussels"
